"","product_productid","movie_count","total_votes","movie_score_avg","movie_score_1","movie_score_2","movie_score_3","movie_score_4","movie_score_5"
"1","0310274281",117,366,4.65811965811966,4,1,6,9,97
"2","0310275253",120,1215,4.45,4,4,7,24,81
"3","0310329795",124,812,4.53225806451613,3,3,7,23,88
"4","0310671469",150,2754,4.06666666666667,12,5,15,47,71
"5","031067154X",252,1036,4.79761904761905,3,2,8,17,222
"6","0310892147",147,224,4.78231292517007,0,1,4,21,121
"7","0470521023",183,1311,4.09289617486339,11,14,17,46,95
"8","0718000021",107,666,4.44859813084112,3,5,12,8,79
"9","0764006770",114,374,4.49122807017544,0,2,6,40,66
"10","0767020308",120,1168,4.19166666666667,5,5,15,32,63
"11","076704360X",110,626,4.79090909090909,0,0,1,21,88
"12","0767726227",258,2196,4.29457364341085,15,6,24,56,157
"13","0767800117",180,763,4.79444444444444,0,2,7,17,154
"14","0767800443",113,509,4.43362831858407,3,7,6,19,78
"15","076780192X",285,1873,4.46666666666667,10,12,10,56,197
"16","0767802446",169,169,4.51479289940828,4,1,2,59,103
"17","0767802470",271,2574,4.74907749077491,5,2,5,32,227
"18","0767802489",271,2574,4.74907749077491,5,2,5,32,227
"19","0767802519",313,2418,4.66453674121406,6,2,12,51,242
"20","0767802527",313,2412,4.66453674121406,6,2,12,51,242
"21","0767802551",120,524,4.35,5,4,12,22,77
"22","0767802594",157,714,4.6687898089172,3,0,3,34,117
"23","0767802608",157,714,4.6687898089172,3,0,3,34,117
"24","0767802624",169,169,4.51479289940828,4,1,2,59,103
"25","0767802659",312,2067,3.67307692307692,54,15,38,77,128
"26","0767802799",101,675,4.25742574257426,4,6,12,17,62
"27","0767803434",120,432,4.16666666666667,7,2,12,42,57
"28","0767804724",120,432,4.16666666666667,7,2,12,42,57
"29","0767805267",477,2765,4.56813417190776,9,8,20,106,334
"30","0767805534",124,1071,4.01612903225806,11,8,14,26,65
"31","0767805690",271,1412,4.51660516605166,7,7,17,48,192
"32","0767805712",271,1412,4.51660516605166,7,7,17,48,192
"33","0767808657",107,259,4.2803738317757,5,6,10,19,67
"34","0767808673",109,265,4.22018348623853,7,6,10,19,67
"35","0767809246",125,481,4.72,1,4,2,15,103
"36","0767809254",104,340,4.67307692307692,4,1,2,11,86
"37","0767809262",122,708,4.40983606557377,3,9,5,23,82
"38","0767811038",312,2067,3.67307692307692,54,15,38,77,128
"39","0767811100",166,563,4.53012048192771,6,3,8,29,120
"40","0767811674",109,265,4.22018348623853,7,6,10,19,67
"41","0767811712",166,563,4.53012048192771,6,3,8,29,120
"42","0767811720",166,563,4.53012048192771,6,3,8,29,120
"43","0767812166",109,367,4.54128440366972,1,2,6,28,72
"44","0767812646",128,321,4.671875,1,2,8,16,101
"45","0767812778",307,2589,4.68078175895765,7,7,9,31,253
"46","076781326X",128,321,4.671875,1,2,8,16,101
"47","0767813871",235,1235,4.62553191489362,4,5,8,41,177
"48","0767814037",158,694,4.23417721518987,8,9,12,38,91
"49","0767814894",103,429,4.27184466019417,1,4,9,41,48
"50","0767815556",103,429,4.27184466019417,1,4,9,41,48
"51","076781598X",300,1645,4.52,10,8,17,46,219
"52","0767816234",103,429,4.27184466019417,1,4,9,41,48
"53","0767817443",270,1412,2.87037037037037,89,33,39,42,67
"54","0767817451",270,1412,2.87037037037037,89,33,39,42,67
"55","0767817478",270,1412,2.87037037037037,89,33,39,42,67
"56","0767817664",126,577,4.48412698412698,3,1,7,36,79
"57","0767817974",198,583,3.75252525252525,25,18,25,43,87
"58","0767819586",163,822,4.32515337423313,3,10,11,46,93
"59","0767819594",112,448,4.125,7,3,14,33,55
"60","0767821483",107,547,4.4392523364486,1,5,12,17,72
"61","0767821785",103,795,4.49514563106796,3,1,8,21,70
"62","0767824407",112,916,4.54464285714286,4,1,6,20,81
"63","0767824431",157,714,4.6687898089172,3,0,3,34,117
"64","0767824571",349,1445,4.65902578796562,12,2,10,45,280
